timestamp(ms),Speed_RPM,Error,
"1705049905.707","51.09",,
"1705049905.709",,"48.91",
"1705049905.719","50.68",,
"1705049905.72",,"49.32",
"1705049905.73","52.52",,
"1705049905.731",,"47.48",
"1705049905.741","52.97",,
"1705049905.743",,"47.03",
"1705049905.753","59.43",,
"1705049905.754",,"40.57",
"1705049905.764","55.39",,
"1705049905.766",,"44.61",
"1705049905.775","55.15",,
"1705049905.777",,"44.85",
"1705049905.787","61.58",,
"1705049905.789",,"38.42",
"1705049905.798","57.25",,
"1705049905.8",,"42.75",
"1705049905.81","56.56",,
"1705049905.812",,"43.44",
"1705049905.821","56.05",,
"1705049905.823",,"43.95",
"1705049905.833","57.69",,
"1705049905.835",,"42.31",
"1705049905.844","55.72",,
"1705049905.846",,"44.28",
"1705049905.856","54.82",,
"1705049905.858",,"45.18",
"1705049905.867","59.9",,
"1705049905.869",,"40.1",
"1705049905.879","54.35",,
"1705049905.881",,"45.65",
"1705049905.89","53.65",,
"1705049905.892",,"46.35",
"1705049905.902","54.74",,
"1705049905.903",,"45.26",
"1705049905.913","53.42",,
"1705049905.915",,"46.58",
"1705049905.925","52.67",,
"1705049905.927",,"47.33",
"1705049905.937","54.11",,
"1705049905.938",,"45.89",
"1705049905.948","53.88",,
"1705049905.949",,"46.12",
"1705049905.959","59.71",,
"1705049905.961",,"40.29",
"1705049905.971","55.23",,
"1705049905.973",,"44.77",
"1705049905.983","54.59",,
"1705049905.984",,"45.41",
"1705049905.994","60.48",,
"1705049905.996",,"39.52",
"1705049906.005","56.31",,
"1705049906.007",,"43.69",
"1705049906.017","55.56",,
"1705049906.019",,"44.44",
"1705049906.028","61.58",,
"1705049906.03",,"38.42",
"1705049906.04","56.05",,
"1705049906.042",,"43.95",
"1705049906.052","53.42",,
"1705049906.053",,"46.58",
"1705049906.063","57.34",,
"1705049906.065",,"42.66",
"1705049906.075","51.3",,
"1705049906.076",,"48.7",
"1705049906.087","51.87",,
"1705049906.088",,"48.13",
"1705049906.098","48.58",,
"1705049906.099",,"51.42",
"1705049906.109","55.97",,
"1705049906.111",,"44.03",
"1705049906.121","46.7",,
"1705049906.123",,"53.3",
"1705049906.132","46.99",,
"1705049906.134",,"53.01",
"1705049906.144","47.65",,
"1705049906.145",,"52.35",
"1705049906.155","56.31",,
"1705049906.157",,"43.69",
"1705049906.167","53.42",,
"1705049906.168",,"46.58",
"1705049906.178","54.74",,
"1705049906.18",,"45.26",
"1705049906.19","62.5",,
"1705049906.191",,"37.5",
"1705049906.201","57.87",,
"1705049906.203",,"42.13",
"1705049906.213","63.56",,
"1705049906.214",,"36.44",
"1705049906.224","65.1",,
"1705049906.226",,"34.9",
"1705049906.236","60",,
"1705049906.237",,"40",
"1705049906.247","68.18",,
"1705049906.249",,"31.82",
"1705049906.258","56.39",,
"1705049906.26",,"43.61",
"1705049906.271","54.82",,
"1705049906.272",,"45.18",
"1705049906.281","62.6",,
"1705049906.283",,"37.4",
"1705049906.293","52.16",,
"1705049906.295",,"47.84",
"1705049906.305","51.87",,
"1705049906.306",,"48.13",
"1705049906.316","59.15",,
"1705049906.318",,"40.85",
"1705049906.328","49.6",,
"1705049906.329",,"50.4",
"1705049906.339","49.87",,
"1705049906.341",,"50.13",
"1705049906.351","49.87",,
"1705049906.353",,"50.13",
"1705049906.362","57.25",,
"1705049906.364",,"42.75",
"1705049906.374","53.65",,
"1705049906.376",,"46.35",
"1705049906.385","54.03",,
"1705049906.388",,"45.97",
"1705049906.397","60.78",,
"1705049906.398",,"39.22",
"1705049906.408","56.05",,
"1705049906.41",,"43.95",
"1705049906.42","55.89",,
"1705049906.421",,"44.11",
"1705049906.431","62.6",,
"1705049906.433",,"37.4",
"1705049906.443","57.6",,
"1705049906.444",,"42.4",
"1705049906.455","61.27",,
"1705049906.457",,"38.73",
"1705049906.466","61.17",,
"1705049906.468",,"38.83",
"1705049906.477","54.66",,
"1705049906.479",,"45.34",
"1705049906.489","58.5",,
"1705049906.49",,"41.5",
"1705049906.5","58.69",,
"1705049906.503",,"41.31",
"1705049906.511","52.74",,
"1705049906.513",,"47.26",
"1705049906.523","51.72",,
"1705049906.525",,"48.28",
"1705049906.535","56.48",,
"1705049906.537",,"43.52",
"1705049906.546","51.3",,
"1705049906.548",,"48.7",
"1705049906.557","51.72",,
"1705049906.559",,"48.28",
"1705049906.569","54.19",,
"1705049906.571",,"45.81",
"1705049906.58","54.11",,
"1705049906.582",,"45.89",
"1705049906.592","60.29",,
"1705049906.593",,"39.71",
"1705049906.604","56.48",,
"1705049906.605",,"43.52",
"1705049906.615","55.97",,
"1705049906.617",,"44.03",
"1705049906.626","55.97",,
"1705049906.628",,"44.03",
"1705049906.638","57.52",,
"1705049906.64",,"42.48",
"1705049906.649","56.9",,
"1705049906.651",,"43.1",
"1705049906.661","56.22",,
"1705049906.662",,"43.78",
"1705049906.672","60.98",,
"1705049906.674",,"39.02",
"1705049906.684","54.74",,
"1705049906.686",,"45.26",
"1705049906.695","53.65",,
"1705049906.697",,"46.35",
"1705049906.707","58.78",,
"1705049906.709",,"41.22",
"1705049906.719","53.27",,
"1705049906.72",,"46.73",
"1705049906.73","52.3",,
"1705049906.732",,"47.7",
"1705049906.741","53.57",,
"1705049906.743",,"46.43",
"1705049906.753","52.37",,
"1705049906.754",,"47.63",
"1705049906.764","58.05",,
"1705049906.766",,"41.95",
"1705049906.776","54.59",,
"1705049906.778",,"45.41",
"1705049906.788","54.27",,
"1705049906.789",,"45.73",
"1705049906.799","60.19",,
"1705049906.8",,"39.81",
"1705049906.81","55.97",,
"1705049906.812",,"44.03",
"1705049906.822","55.31",,
"1705049906.823",,"44.69",
"1705049906.833","61.37",,
"1705049906.835",,"38.63",
"1705049906.845","56.82",,
"1705049906.846",,"43.18",
"1705049906.856","56.05",,
"1705049906.858",,"43.95",
"1705049906.868","54.9",,
"1705049906.869",,"45.1",
"1705049906.879","55.72",,
"1705049906.881",,"44.28",
"1705049906.891","54.27",,
"1705049906.893",,"45.73",
"1705049906.903","53.42",,
"1705049906.904",,"46.58",
"1705049906.914","54.82",,
"1705049906.916",,"45.18",
"1705049906.926","53.5",,
"1705049906.927",,"46.5",
"1705049906.937","58.78",,
"1705049906.939",,"41.22",
"1705049906.948","54.11",,
"1705049906.95",,"45.89",
"1705049906.96","52.97",,
"1705049906.961",,"47.03",
"1705049906.971","58.78",,
"1705049906.973",,"41.22",
"1705049906.983","59.71",,
"1705049906.984",,"40.29",
"1705049906.994","54.19",,
"1705049906.996",,"45.81",
"1705049907.006","60.19",,
"1705049907.044",,"39.81",
"1705049907.045","54.82","38.83",
"1705049907.058","60.58","39.42",
"1705049907.067","55.23","38.63",
"1705049907.068",,"44.77",
"1705049907.075","60.88",,
"1705049907.077",,"39.12",
"1705049907.087","61.27",,
"1705049907.091",,"38.73",
"1705049907.098","54.9",,
"1705049907.099",,"45.1",
"1705049907.109","60.58",,
"1705049907.111",,"39.42",
"1705049907.121","61.17",,
"1705049907.122",,"38.83",
"1705049907.132","54.59",,
"1705049907.134",,"45.41",
"1705049907.144","59.71",,
"1705049907.145",,"40.29",
"1705049907.155","60.29",,
"1705049907.157",,"39.71",
"1705049907.171","54.11",,
"1705049907.174",,"45.89",
"1705049907.178","59.9",,
"1705049907.18",,"40.1",
"1705049907.19","60.39",,
"1705049907.191",,"39.61",
"1705049907.201","56.48",,
"1705049907.203",,"43.52",
"1705049907.213","60.1",,
"1705049907.215",,"39.9",
"1705049907.224","61.07",,
"1705049907.226",,"38.93",
"1705049907.236","57.08",,
"1705049907.237",,"42.92",
"1705049907.247","60.19",,
"1705049907.249",,"39.81",
"1705049907.259","60.88",,
"1705049907.26",,"39.12",
"1705049907.27","56.9",,
"1705049907.272",,"43.1",
"1705049907.282","60",,
"1705049907.283",,"40",
"1705049907.293","60.29",,
"1705049907.295",,"39.71",
"1705049907.305","55.8",,
"1705049907.306",,"44.2",
"1705049907.316","52.59",,
"1705049907.318",,"47.41",
"1705049907.328","58.59",,
"1705049907.329",,"41.41",
"1705049907.339","54.59",,
"1705049907.341",,"45.41",
"1705049907.351","51.65",,
"1705049907.352",,"48.35",
"1705049907.362","60.39",,
"1705049907.364",,"39.61",
"1705049907.373","51.09",,
"1705049907.375",,"48.91",
"1705049907.385","52.37",,
"1705049907.387",,"47.63",
"1705049907.396","57.96",,
"1705049907.398",,"42.04",
"1705049907.408","53.65",,
"1705049907.41",,"46.35",
"1705049907.419","54.99",,
"1705049907.421",,"45.01",
"1705049907.431","59.9",,
"1705049907.432",,"40.1",
"1705049907.442","55.23",,
"1705049907.444",,"44.77",
"1705049907.454","56.22",,
"1705049907.455",,"43.78",
"1705049907.465","65.79",,
"1705049907.467",,"34.21",
"1705049907.477","56.31",,
"1705049907.478",,"43.69",
"1705049907.488","56.39",,
"1705049907.49",,"43.61",
"1705049907.5","64.88",,
"1705049907.501",,"35.12",
"1705049907.511","57.43",,
"1705049907.513",,"42.57",
"1705049907.523","53.96",,
"1705049907.525",,"46.04",
"1705049907.534","62.6",,
"1705049907.536",,"37.4",
"1705049907.546","53.04",,
"1705049907.547",,"46.96",
"1705049907.557","53.27",,
"1705049907.559",,"46.73",
"1705049907.569","61.78",,
"1705049907.571",,"38.22",
"1705049907.58","52.45",,
"1705049907.582",,"47.55",
"1705049907.592","53.27",,
"1705049907.594",,"46.73",
"1705049907.603","63.13",,
"1705049907.605",,"36.87",
"1705049907.615","54.19",,
"1705049907.617",,"45.81",
"1705049907.626","55.72",,
"1705049907.628",,"44.28",
"1705049907.638","65.33",,
"1705049907.64",,"34.67",
"1705049907.649","55.72",,
"1705049907.651",,"44.28",
"1705049907.661","56.22",,
"1705049907.663",,"43.78",
"1705049907.672","65.67",,
"1705049907.674",,"34.33",
"1705049907.684","59.24",,
"1705049907.686",,"40.76",
"1705049907.695","55.8",,
"1705049907.697",,"44.2",
"1705049907.707","61.17",,
"1705049907.709",,"38.83",
"1705049907.718","56.22",,
"1705049907.72",,"43.78",
"1705049907.73","52.82",,
"1705049907.731",,"47.18",
"1705049907.741","60.68",,
"1705049907.743",,"39.32",
"1705049907.753","50.88",,
"1705049907.754",,"49.12",
"1705049907.764","51.16",,
"1705049907.766",,"48.84",
"1705049907.776","54.99",,
"1705049907.778",,"45.01",
"1705049907.787","55.23",,
"1705049907.789",,"44.77",
"1705049907.799","50.54",,
"1705049907.801",,"49.46",
"1705049907.811","50.74",,
"1705049907.812",,"49.26",
"1705049907.822","56.65",,
"1705049907.824",,"43.35",
"1705049907.833","52.08",,
"1705049907.835",,"47.92",
"1705049907.845","52.01",,
"1705049907.847",,"47.99",
"1705049907.857","53.42",,
"1705049907.858",,"46.58",
"1705049907.868","52.89",,
"1705049907.87",,"47.11",
"1705049907.879","58.41",,
"1705049907.881",,"41.59",
"1705049907.891","54.19",,
"1705049907.893",,"45.81",
"1705049907.903","53.34",,
"1705049907.905",,"46.66",
"1705049907.914","59.15",,
"1705049907.916",,"40.85",
"1705049907.925","60.19",,
"1705049907.927",,"39.81",
"1705049907.937","53.96",,
"1705049907.939",,"46.04",
"1705049907.948","59.71",,
"1705049907.95",,"40.29",
"1705049907.96","60.78",,
"1705049907.962",,"39.22",
"1705049907.972","54.59",,
"1705049907.973",,"45.41",
"1705049907.983","60.1",,
"1705049907.985",,"39.9",
"1705049907.994","60.58",,
"1705049907.996",,"39.42",
"1705049908.006","56.14",,
"1705049908.008",,"43.86",
"1705049908.018","58.14",,
"1705049908.019",,"41.86",
"1705049908.029","57.52",,
"1705049908.031",,"42.48",
"1705049908.04","53.19",,
"1705049908.042",,"46.81",
"1705049908.052","49.93",,
"1705049908.054",,"50.07",
"1705049908.063","57.87",,
"1705049908.065",,"42.13",
"1705049908.075","48.83",,
"1705049908.076",,"51.17",
"1705049908.086","49.15",,
"1705049908.088",,"50.85",
"1705049908.098","48.64",,
"1705049908.1",,"51.36",
"1705049908.109","50.54",,
"1705049908.111",,"49.46",
"1705049908.121","52.01",,
"1705049908.123",,"47.99",
"1705049908.132","53.72",,
"1705049908.134",,"46.28",
"1705049908.144","56.82",,
"1705049908.145",,"43.18",
"1705049908.156","57.25",,
"1705049908.157",,"42.75",
"1705049908.167","57.43",,
"1705049908.169",,"42.57",
"1705049908.178","64.54",,
"1705049908.18",,"35.46",
"1705049908.19","59.34",,
"1705049908.191",,"40.66",
"1705049908.201","64.77",,
"1705049908.203",,"35.23",
"1705049908.213","57.34",,
"1705049908.215",,"42.66",
"1705049908.225","55.89",,
"1705049908.226",,"44.11",
"1705049908.236","62.19",,
"1705049908.238",,"37.81",
"1705049908.248","50.74",,
"1705049908.249",,"49.26",
"1705049908.259","49.8",,
"1705049908.261",,"50.2",
"1705049908.271","52.37",,
"1705049908.272",,"47.63",
"1705049908.282","51.8",,
"1705049908.284",,"48.2",
"1705049908.293","46.58",,
"1705049908.295",,"53.42",
"1705049908.305","50.34",,
"1705049908.307",,"49.66",
"1705049908.316","52.67",,
"1705049908.318",,"47.33",
"1705049908.328","48.51",,
"1705049908.329",,"51.49",
"1705049908.34","51.09",,
"1705049908.341",,"48.91",
"1705049908.351","61.58",,
"1705049908.353",,"38.42",
"1705049908.363","53.42",,
"1705049908.364",,"46.58",
"1705049908.374","54.9",,
"1705049908.375",,"45.1",
"1705049908.385","64.88",,
"1705049908.387",,"35.12",
"1705049908.397","55.39",,
"1705049908.399",,"44.61",
"1705049908.408","56.65",,
"1705049908.41",,"43.35",
"1705049908.42","65.79",,
"1705049908.422",,"34.21",
"1705049908.432","58.23",,
"1705049908.433",,"41.77",
"1705049908.443","54.74",,
"1705049908.445",,"45.26",
"1705049908.455","63.45",,
"1705049908.456",,"36.55",
"1705049908.466","56.56",,
"1705049908.468",,"43.44",
"1705049908.477","53.65",,
"1705049908.479",,"46.35",
"1705049908.489","62.29",,
"1705049908.49",,"37.71",
"1705049908.5","52.45",,
"1705049908.502",,"47.55",
"1705049908.512","53.19",,
"1705049908.514",,"46.81",
"1705049908.524","62.29",,
"1705049908.525",,"37.71",
"1705049908.535","53.34",,
"1705049908.537",,"46.66",
"1705049908.547","54.82",,
"1705049908.548",,"45.18",
"1705049908.558","64.43",,
"1705049908.56",,"35.57",
"1705049908.57","54.99",,
"1705049908.571",,"45.01",
"1705049908.581","56.22",,
"1705049908.583",,"43.78",
"1705049908.593","66.02",,
"1705049908.594",,"33.98",
"1705049908.604","59.34",,
"1705049908.606",,"40.66",
"1705049908.616","56.48",,
"1705049908.617",,"43.52",
"1705049908.627","62.81",,
"1705049908.629",,"37.19",
"1705049908.639","58.23",,
"1705049908.64",,"41.77",
"1705049908.65","54.82",,
"1705049908.652",,"45.18",
"1705049908.661","61.07",,
"1705049908.663",,"38.93",
"1705049908.673","56.9",,
"1705049908.674",,"43.1",
"1705049908.684","54.03",,
"1705049908.687",,"45.97",
"1705049908.696","60.19",,
"1705049908.698",,"39.81",
"1705049908.708","55.72",,
"1705049908.709",,"44.28",
"1705049908.719","53.04",,
"1705049908.72",,"46.96",
"1705049908.73","62.09",,
"1705049908.732",,"37.91",
"1705049908.742","56.65",,
"1705049908.743",,"43.35",
"1705049908.753","54.66",,
"1705049908.755",,"45.34",
"1705049908.765","64.43",,
"1705049908.766",,"35.57",
"1705049908.776","58.69",,
"1705049908.778",,"41.31",
"1705049908.788","56.22",,
"1705049908.79",,"43.78",
"1705049908.799","63.34",,
"1705049908.801",,"36.66",
"1705049908.81","59.24",,
"1705049908.812",,"40.76",
"1705049908.822","56.48",,
"1705049908.824",,"43.52",
"1705049908.834","63.13",,
"1705049908.835",,"36.87",
"1705049908.845","55.64",,
"1705049908.847",,"44.36",
"1705049908.857","60.58",,
"1705049908.858",,"39.42",
"1705049908.868","60.68",,
"1705049908.87",,"39.32",
"1705049908.879","56.39",,
"1705049908.881",,"43.61",
"1705049908.891","59.43",,
"1705049908.893",,"40.57",
"1705049908.903","59.62",,
"1705049908.904",,"40.38",
"1705049908.914","55.39",,
"1705049908.916",,"44.61",
"1705049908.925","52.74",,
"1705049908.927",,"47.26",
"1705049908.938","59.71",,
"1705049908.939",,"40.29",
"1705049908.949","56.82",,
"1705049908.95",,"43.18",
"1705049908.96","54.51",,
"1705049908.962",,"45.49",
"1705049908.972","61.48",,
"1705049908.973",,"38.52",
"1705049908.983","57.78",,
"1705049908.985",,"42.22",
"1705049908.994","55.07",,
"1705049908.996",,"44.93",
"1705049909.006","62.09",,
"1705049909.008",,"37.91",
"1705049909.017","58.14",,
"1705049909.019",,"41.86",
"1705049909.029","55.47",,
"1705049909.031",,"44.53",
"1705049909.041","62.09",,
"1705049909.043",,"37.91",
"1705049909.052","57.69",,
"1705049909.054",,"42.31",
"1705049909.064","60.68",,
"1705049909.065",,"39.32",
"1705049909.075","61.17",,
"1705049909.076",,"38.83",
"1705049909.087","57.08",,
"1705049909.088",,"42.92",
"1705049909.098","60.19",,
"1705049909.1",,"39.81",
"1705049909.109","60.88",,
"1705049909.111",,"39.12",
"1705049909.121","57.25",,
"1705049909.123",,"42.75",
"1705049909.132","60.78",,
"1705049909.134",,"39.22",
"1705049909.144","60.88",,
"1705049909.146",,"39.12",
"1705049909.156","55.64",,
"1705049909.158",,"44.36",
"1705049909.167","51.8",,
"1705049909.169",,"48.2",
"1705049909.218","56.99",,
"1705049909.219","49.87","47.41",
"1705049909.22","53.42","46.58",
"1705049909.242","53.57","46.43",
"1705049909.243","48.64","51.36",
"1705049909.248","49.21",,
"1705049909.25",,"50.79",
"1705049909.259","52.45",,
"1705049909.261",,"47.55",
"1705049909.274","53.65",,
"1705049909.279",,"46.35",
"1705049909.282","54.82",,
"1705049909.284",,"45.18",
"1705049909.294","56.99",,
"1705049909.296",,"43.01",
"1705049909.305","57.43",,
"1705049909.307",,"42.57",
"1705049909.317","57.87",,
"1705049909.318",,"42.13",
"1705049909.328","64.54",,
"1705049909.33",,"35.46",
"1705049909.34","59.52",,
"1705049909.341",,"40.48",
"1705049909.351","63.56",,
"1705049909.353",,"36.44",
"1705049909.363","56.48",,
"1705049909.365",,"43.52",
"1705049909.374","55.97",,
"1705049909.376",,"44.03",
"1705049909.386","63.67",,
"1705049909.388",,"36.33",
"1705049909.397","52.97",,
"1705049909.399",,"47.03",
"1705049909.409","53.27",,
"1705049909.41",,"46.73",
"1705049909.421","61.07",,
"1705049909.422",,"38.93",
"1705049909.432","51.37",,
"1705049909.434",,"48.63",
"1705049909.443","51.72",,
"1705049909.445",,"48.28",
"1705049909.455","56.31",,
"1705049909.457",,"43.69",
"1705049909.466","58.41",,
"1705049909.468",,"41.59",
"1705049909.478","54.11",,
"1705049909.479",,"45.89",
"1705049909.49","59.24",,
"1705049909.492",,"40.76",
"1705049909.501","60.78",,
"1705049909.502",,"39.22",
"1705049909.512","55.97",,
"1705049909.514",,"44.03",
"1705049909.524","60.88",,
"1705049909.525",,"39.12",
"1705049909.535","61.88",,
"1705049909.537",,"38.12",
"1705049909.547","56.99",,
"1705049909.55",,"43.01",
"1705049909.558","61.58",,
"1705049909.56",,"38.42",
"1705049909.57","55.07",,
"1705049909.575",,"44.93",
"1705049909.581","55.15",,
"1705049909.587",,"44.85",
"1705049909.593","63.13",,
"1705049909.598",,"36.87",
"1705049909.604","53.12",,
"1705049909.608",,"46.88",
"1705049909.616","53.8",,
"1705049909.62",,"46.2",
"1705049909.627","57.69",,
"1705049909.632",,"42.31",
"1705049909.639","52.3",,
"1705049909.642",,"47.7",
"1705049909.65","53.04",,
"1705049909.652",,"46.96",
"1705049909.662","57.52",,
"1705049909.663",,"42.48",
"1705049909.673","59.24",,
"1705049909.675",,"40.76",
"1705049909.685","54.9",,
"1705049909.694",,"45.1",
"1705049909.698","59.81","40.19",
"1705049909.709","60.88",,
"1705049909.712",,"39.12",
"1705049909.719","55.8",,
"1705049909.737","60.68","44.2",
"1705049909.738",,"39.32",
"1705049909.742","55.8",,
"1705049909.752",,"44.2",
"1705049909.765","56.73","43.27",
"1705049909.77","65.33","34.67",
"1705049909.777","54.82",,
"1705049909.778",,"45.18",
"1705049909.788","55.23",,
"1705049909.793",,"44.77",
"1705049909.801","63.78",,
"1705049909.809",,"36.22",
"1705049909.812","53.65",,
"1705049909.824",,"46.35",
"1705049909.825","54.11","45.89",
"1705049909.834","62.92",,
"1705049909.84",,"37.08",
"1705049909.846","53.5",,
"1705049909.85",,"46.5",
"1705049909.857","54.27",,
"1705049909.86",,"45.73",
"1705049909.868","58.5",,
"1705049909.873",,"41.5",
"1705049909.88","53.65",,
"1705049909.885",,"46.35",
"1705049909.897","54.66","45.34",
"1705049909.904","59.81",,
"1705049909.911",,"40.19",
"1705049909.916","54.82",,
"1705049909.919",,"45.18",
"1705049909.927","55.72",,
"1705049909.943","64.99","44.28",
"1705049909.951",,"35.01",
"1705049909.952","55.15","44.85",
"1705049909.963","55.8",,
"1705049909.966",,"44.2",
"1705049909.972","64.66",,
"1705049909.976",,"35.34",
"1705049909.984","54.35",,
"1705049910.002","54.59","45.41",
"1705049910.01","63.67","36.33",
"1705049910.018","57.16",,
"1705049910.025",,"42.84",
"1705049910.029","54.43",,
"1705049910.032",,"45.57",
"1705049910.041","63.88",,
"1705049910.044",,"36.12",
"1705049910.053","57.52",,
"1705049910.057",,"42.48",
"1705049910.064","54.9",,
"1705049910.073",,"45.1",
"1705049910.079","64.54","35.46",
"1705049910.091","58.32",,
"1705049910.092",,"41.68",
"1705049910.099","55.72",,
"1705049910.102",,"44.28",
"1705049910.11","62.5",,
"1705049910.112",,"37.5",
"1705049910.122","58.5",,
"1705049910.126",,"41.5",
"1705049910.133","55.56",,
"1705049910.144",,"44.44",
"1705049910.145","62.09",,
"1705049910.152",,"37.91",
"1705049910.156","58.14",,
"1705049910.159",,"41.86",
"1705049910.167","61.37",,
"1705049910.169",,"38.63",
"1705049910.179","61.17",,
"1705049910.181",,"38.83",
"1705049910.19","55.89",,
"1705049910.192",,"44.11",
"1705049910.207","52.01",,
